plowed_last_hour,plowed_total,not_plowed,time
928.0,1691.0,3880.0,2019-12-17 06:00:00
254.0,3652.0,1919.0,2019-12-17 20:00:00
490.0,3736.0,1835.0,2019-12-17 21:00:00
349.0,3825.0,1746.0,2019-12-17 22:00:00
428.0,3885.0,1686.0,2019-12-17 23:00:00
388.0,3933.0,1638.0,2019-12-18 00:00:00
330.0,3952.0,1619.0,2019-12-18 01:00:00
247.0,3985.0,1586.0,2019-12-18 02:00:00
260.0,4025.0,1546.0,2019-12-18 03:00:00
332.0,4085.0,1486.0,2019-12-18 04:00:00
215.0,4088.0,1483.0,2019-12-18 05:00:00
366.0,4118.0,1453.0,2019-12-18 06:00:00
59.0,4122.0,1449.0,2019-12-18 07:00:00
196.0,4150.0,1421.0,2019-12-18 08:00:00
49.0,4152.0,1419.0,2019-12-18 09:00:00
0.0,4152.0,1419.0,2019-12-18 10:00:00
3.0,4152.0,1419.0,2019-12-18 11:00:00
10.0,4152.0,1419.0,2019-12-18 15:00:00
146.0,4154.0,1417.0,2019-12-18 16:00:00
336.0,4183.0,1388.0,2019-12-18 17:00:00
642.0,4220.0,1351.0,2019-12-18 18:00:00
87.0,4220.0,1351.0,2019-12-18 19:00:00
531.0,4251.0,1320.0,2019-12-18 20:00:00
571.0,4293.0,1278.0,2019-12-18 21:00:00
862.0,4336.0,1235.0,2019-12-18 22:00:00
467.0,4366.0,1205.0,2019-12-18 23:00:00
444.0,4405.0,1166.0,2019-12-19 02:00:00
490.0,4425.0,1146.0,2019-12-19 03:00:00
696.0,4457.0,1114.0,2019-12-19 04:00:00
715.0,4488.0,1083.0,2019-12-19 05:00:00
586.0,4499.0,1072.0,2019-12-19 06:00:00
366.0,4522.0,1049.0,2019-12-19 07:00:00
544.0,4552.0,1019.0,2019-12-19 08:00:00
567.0,4576.0,995.0,2019-12-19 09:00:00
575.0,4585.0,986.0,2019-12-19 10:00:00
732.0,4626.0,945.0,2019-12-19 11:00:00
713.0,4658.0,913.0,2019-12-19 12:00:00
853.0,4711.0,860.0,2019-12-19 13:00:00
467.0,4796.0,775.0,2019-12-19 15:00:00
172.0,4812.0,759.0,2019-12-19 16:00:00
412.0,4848.0,723.0,2019-12-19 17:00:00
473.0,4879.0,692.0,2019-12-19 18:00:00
7.0,4879.0,692.0,2019-12-19 19:00:00
305.0,4883.0,688.0,2019-12-19 20:00:00
